wangge,GEP,true,bayes
1725.5734,1720.9366,1717.7,1727.4587
1720.9277,1714.564,1719.1,1726.2798
1712.9562,1721.6514,1750.3,1713.6685
1742.8342,1747.9347,1762.9,1740.0352
1764.0547,1762.0667,1769.0,1765.1904
1768.2085,1763.6584,1771.1,1774.9403
1769.4872,1766.9358,1758.0,1777.436
1757.5516,1750.5443,1788.5,1767.1946
1770.0361,1777.386,1772.9,1772.1195
1774.8693,1769.9999,1786.8,1775.6652
1775.7452,1774.1519,1794.0,1776.6321
1786.4288,1787.7194,1795.6,1784.2615
1793.8522,1790.6193,1789.7,1791.55
1789.3152,1782.2793,1798.6,1789.8073
1788.4225,1786.8717,1781.4,1788.5563
1784.8022,1778.4778,1773.2,1785.1499
1773.2513,1766.1195,1760.3,1774.9773
1762.4387,1756.905,1755.3,1763.7764
1755.6531,1752.1024,1747.6,1755.3792
1749.0049,1744.7297,1734.0,1748.1365
1735.4878,1728.4865,1746.8,1736.4467
1737.8182,1740.0449,1747.8,1735.6736
1745.0972,1744.6108,1757.7,1741.5256
1757.2079,1756.6785,1736.1,1753.0765
1748.2351,1736.9866,1736.6,1750.2883
1736.445,1731.3126,1723.2,1740.7119
1728.5121,1724.0802,1712.8,1731.9064
1715.3512,1709.7812,1696.6,1719.1152
1701.6029,1696.3916,1709.8,1705.3816
1704.9998,1708.4504,1709.8,1704.7684
1707.9976,1706.9889,1715.3,1707.831
1706.4921,1704.8712,1708.0,1708.7882
1711.8855,1710.4216,1716.2,1713.8014
1717.5455,1715.4735,1728.1,1719.7212
1727.6321,1727.2935,1705.0,1729.0183
1714.9122,1703.6427,1696.5,1722.1329
1699.9602,1694.6505,1665.4,1708.3538
1676.3475,1667.5165,1671.7,1686.0525
1662.9777,1663.9568,1666.2,1669.4878
1661.8679,1664.1923,1659.7,1664.4607
1660.5526,1659.6191,1664.6,1663.1841
1668.6984,1670.656,1670.8,1671.3845
1672.5327,1670.1837,1645.3,1677.964
1674.3353,1653.1062,1645.3,1670.3716
1690.2986,1655.0997,1623.3,1714.997
1648.2605,1621.5377,1626.7,1694.5027
1632.7837,1633.7418,1660.4,1671.2323
1635.7754,1648.2203,1658.5,1660.2887
1652.056,1657.8057,1662.4,1666.7279
1665.2318,1666.3585,1692.9,1677.6547
1680.8563,1685.4451,1721.1,1692.5283
1709.4824,1716.5408,1711.4,1717.4285
1719.042,1712.936,1711.7,1729.63
1718.2985,1712.8984,1700.5,1730.295
1705.413,1697.9962,1667.3,1718.4718
1681.4762,1672.086,1678.7,1695.3406
1667.6918,1669.6885,1670.3,1676.7942
1666.824,1669.55,1670.0,1670.4447
1664.8112,1663.5328,1641.7,1668.4042
1655.3647,1649.3491,1657.0,1662.3147
1653.0679,1654.2856,1649.0,1659.7484
1652.4829,1651.4916,1627.5,1659.3954
1637.1685,1629.7375,1630.8,1647.9629
1630.1929,1631.3619,1651.0,1640.0868
1641.5442,1647.8976,1648.7,1648.0264
1656.5452,1656.7162,1652.8,1663.4026
1653.3136,1647.6779,1664.0,1665.7244
1658.9692,1661.0022,1660.7,1670.9113
1662.9736,1661.3643,1639.6,1674.3486
1654.0052,1646.3677,1635.9,1668.1655
1640.8942,1636.6791,1645.0,1655.2705
1639.2107,1642.6414,1645.7,1649.941
1647.4019,1649.9272,1627.3,1655.6017
1630.7998,1622.2213,1672.5,1643.9166
1647.3594,1660.3237,1676.5,1655.4893
1675.0999,1679.238,1712.1,1680.2759
1708.3783,1712.809,1710.1,1712.8944
1716.9675,1709.9883,1750.3,1727.6223
1729.6565,1733.3263,1766.0,1740.0099
1759.2727,1764.0338,1773.6,1762.7594
1768.8092,1764.1934,1773.8,1773.8644
1771.4254,1767.1703,1773.0,1776.9906
